run_id,subject_id,identity_risk,empirical_success,empirical_confidence,true_subject,predicted_subject
s01_ex01_s02,s01,70.375,1,0.2128968672038726,s01,s01
s01_ex01_s03,s01,64.66666666666667,1,0.1708550896280796,s01,s01
s01_ex02_s01,s01,67.25,1,0.4278247688845734,s01,s01
s01_ex02_s02,s01,68.29166666666667,1,0.41270332265476917,s01,s01
s01_ex02_s03,s01,69.58333333333333,1,0.45686237457046186,s01,s01
s01_ex05,s01,73.33333333333333,1,0.2961533838580433,s01,s01
s01_ex06,s01,71.375,1,0.32476044170652535,s01,s01
s01_ex07,s01,66.875,1,0.31975791454956753,s01,s01
s01_ex08,s01,72.125,1,0.31202293200748993,s01,s01
s01_ex09,s01,70.66666666666667,1,0.3823605978005012,s01,s01
s01_ex10,s01,70.75,1,0.367163972595048,s01,s01
s02_ex01_s01,s02,62.458333333333336,1,0.31123350386936727,s02,s02
s02_ex01_s02,s02,56.041666666666664,1,0.3301866255382371,s02,s02
s02_ex01_s03,s02,53.125,0,0.33653618002540275,s02,s19
s02_ex02_s01,s02,58.625,1,0.6214806370806153,s02,s02
s02_ex02_s02,s02,55.041666666666664,0,0.27981645929015536,s02,s19
s02_ex02_s03,s02,59.083333333333336,1,0.5378551637042016,s02,s02
s02_ex05,s02,61.583333333333336,1,0.5146422419612521,s02,s02
s02_ex06,s02,58.458333333333336,1,0.821535413903807,s02,s02
s02_ex07,s02,64.04166666666667,1,0.6196503977174683,s02,s02
s02_ex08,s02,60.291666666666664,1,0.5814876815786608,s02,s02
s02_ex09,s02,61.416666666666664,1,0.6045295143677895,s02,s02
s02_ex10,s02,62.375,1,0.501411027621458,s02,s02
s03_ex01_s01,s03,64.91666666666667,1,0.5969507819839529,s03,s03
s03_ex01_s02,s03,66.91666666666667,1,0.5950521644387669,s03,s03
s03_ex01_s03,s03,66.04166666666667,1,0.4486172219937654,s03,s03
s03_ex02_s01,s03,65.875,1,0.44871994073035015,s03,s03
s03_ex02_s02,s03,61.833333333333336,1,0.4307556077738499,s03,s03
s03_ex02_s03,s03,62.708333333333336,1,0.5940604404144308,s03,s03
s03_ex05,s03,66.375,1,0.6527142504424489,s03,s03
s03_ex06,s03,67.52173913043478,1,0.7691702403453383,s03,s03
s03_ex07,s03,61.97727272727273,1,0.6155091246699337,s03,s03
s03_ex08,s03,61.416666666666664,0,0.22328036660789752,s03,s04
s03_ex09,s03,65.125,1,0.5023087429186822,s03,s03
